make,fuel-type,num-of-doors,body-style,engine-location,length,width,height,num-of-cylinders,horsepower,peak-rpm,city-mpg,highway-mpg,price
alfa-romero,gas,two,convertible,front,168.8,64.1,48.8,four,111,5000,21,27,13495
alfa-romero,gas,two,convertible,front,168.8,64.1,48.8,four,111,5000,21,27,16500
alfa-romero,gas,two,hatchback,front,171.2,65.5,52.4,six,154,5000,19,26,16500
audi,gas,four,sedan,front,176.6,66.2,54.3,four,102,5500,24,30,13950
audi,gas,four,sedan,front,176.6,66.4,54.3,five,115,5500,18,22,17450
audi,gas,two,sedan,front,177.3,66.3,53.1,five,110,5500,19,25,15250
audi,gas,four,sedan,front,192.7,71.4,55.7,five,110,5500,19,25,17710
audi,gas,four,wagon,front,192.7,71.4,55.7,five,110,5500,19,25,18920
audi,gas,four,sedan,front,192.7,71.4,55.9,five,140,5500,17,20,23875
bmw,gas,two,sedan,front,176.8,64.8,54.3,four,101,5800,23,29,16430
bmw,gas,four,sedan,front,176.8,64.8,54.3,four,101,5800,23,29,16925
bmw,gas,two,sedan,front,176.8,64.8,54.3,six,121,4250,21,28,20970
bmw,gas,four,sedan,front,176.8,64.8,54.3,six,121,4250,21,28,21105
bmw,gas,four,sedan,front,189.0,66.9,55.7,six,121,4250,20,25,24565
bmw,gas,four,sedan,front,189.0,66.9,55.7,six,182,5400,16,22,30760
bmw,gas,two,sedan,front,193.8,67.9,53.7,six,182,5400,16,22,41315
bmw,gas,four,sedan,front,197.0,70.9,56.3,six,182,5400,15,20,36880
chevrolet,gas,two,hatchback,front,141.1,60.3,53.2,three,48,5100,47,53,5151
chevrolet,gas,two,hatchback,front,155.9,63.6,52.0,four,70,5400,38,43,6295
chevrolet,gas,four,sedan,front,158.8,63.6,52.0,four,70,5400,38,43,6575
dodge,gas,two,hatchback,front,157.3,63.8,50.8,four,68,5500,37,41,5572
dodge,gas,two,hatchback,front,157.3,63.8,50.8,four,68,5500,31,38,6377
dodge,gas,two,hatchback,front,157.3,63.8,50.8,four,102,5500,24,30,7957
dodge,gas,four,hatchback,front,157.3,63.8,50.6,four,68,5500,31,38,6229
dodge,gas,four,sedan,front,157.3,63.8,50.6,four,68,5500,31,38,6692
dodge,gas,four,sedan,front,157.3,63.8,50.6,four,68,5500,31,38,7609
dodge,gas,?,sedan,front,157.3,63.8,50.6,four,102,5500,24,30,8558
dodge,gas,four,wagon,front,174.6,64.6,59.8,four,88,5000,24,30,8921
dodge,gas,two,hatchback,front,173.2,66.3,50.2,four,145,5000,19,24,12964
honda,gas,two,hatchback,front,144.6,63.9,50.8,four,58,4800,49,54,6479
honda,gas,two,hatchback,front,144.6,63.9,50.8,four,76,6000,31,38,6855
honda,gas,two,hatchback,front,150.0,64.0,52.6,four,60,5500,38,42,5399
honda,gas,two,hatchback,front,150.0,64.0,52.6,four,76,6000,30,34,6529
honda,gas,two,hatchback,front,150.0,64.0,52.6,four,76,6000,30,34,7129
honda,gas,four,sedan,front,163.4,64.0,54.5,four,76,6000,30,34,7295
honda,gas,four,wagon,front,157.1,63.9,58.3,four,76,6000,30,34,7295
honda,gas,two,hatchback,front,167.5,65.2,53.3,four,86,5800,27,33,7895
honda,gas,two,hatchback,front,167.5,65.2,53.3,four,86,5800,27,33,9095
honda,gas,four,sedan,front,175.4,65.2,54.1,four,86,5800,27,33,8845
honda,gas,four,sedan,front,175.4,62.5,54.1,four,86,5800,27,33,10295
honda,gas,four,sedan,front,175.4,65.2,54.1,four,101,5800,24,28,12945
honda,gas,two,sedan,front,169.1,66.0,51.0,four,100,5500,25,31,10345
isuzu,gas,four,sedan,front,170.7,61.8,53.5,four,78,4800,24,29,6785
isuzu,gas,two,hatchback,front,172.6,65.2,51.4,four,90,5000,24,29,11048
jaguar,gas,four,sedan,front,199.6,69.6,52.8,six,176,4750,15,19,32250
jaguar,gas,four,sedan,front,199.6,69.6,52.8,six,176,4750,15,19,35550
jaguar,gas,two,sedan,front,191.7,70.6,47.8,twelve,262,5000,13,17,36000
