Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,-0.34,-0.5,-0.23,-0.29,-0.05,-0.15,-0.17,-0.25,-0.22,-0.3,-0.42,-0.39
1881,-0.3,-0.21,-0.03,0.01,0.04,-0.32,0.09,-0.03,-0.25,-0.42,-0.35,-0.22
1882,0.28,0.23,0.03,-0.3,-0.24,-0.28,-0.26,-0.13,-0.23,-0.51,-0.31,-0.67
1883,-0.56,-0.64,-0.14,-0.29,-0.24,-0.1,-0.04,-0.21,-0.32,-0.15,-0.44,-0.14
1884,-0.16,-0.11,-0.63,-0.59,-0.36,-0.4,-0.44,-0.49,-0.44,-0.43,-0.55,-0.46
1885,-0.99,-0.43,-0.21,-0.47,-0.56,-0.42,-0.31,-0.37,-0.36,-0.33,-0.35,-0.08
1886,-0.71,-0.8,-0.69,-0.34,-0.3,-0.34,-0.11,-0.4,-0.3,-0.28,-0.37,-0.18
1887,-1.05,-0.67,-0.41,-0.35,-0.22,-0.18,-0.21,-0.51,-0.18,-0.46,-0.24,-0.41
1888,-0.46,-0.57,-0.6,-0.18,-0.13,0.0,0.03,-0.18,-0.17,0.0,0.03,-0.22
1889,-0.25,0.33,0.0,0.18,-0.01,-0.05,-0.06,-0.18,-0.28,-0.39,-0.6,-0.53
1890,-0.62,-0.58,-0.46,-0.22,-0.34,-0.14,-0.21,-0.37,-0.33,-0.08,-0.62,-0.44
1891,-0.44,-0.67,-0.14,-0.33,-0.13,-0.1,-0.1,-0.11,-0.06,-0.26,-0.51,-0.02
1892,-0.47,-0.13,-0.65,-0.43,-0.22,-0.04,-0.36,-0.31,-0.17,-0.26,-0.8,-0.64
1893,-1.49,-0.94,-0.3,-0.28,-0.43,-0.18,-0.13,-0.32,-0.27,-0.27,-0.33,-0.61
1894,-0.89,-0.4,-0.19,-0.52,-0.24,-0.39,-0.19,-0.25,-0.31,-0.25,-0.46,-0.33
1895,-0.67,-0.78,-0.47,-0.16,-0.28,-0.18,-0.16,-0.25,-0.03,-0.06,-0.1,-0.2
1896,-0.33,-0.16,-0.47,-0.58,-0.15,0.1,0.02,-0.09,-0.11,0.08,-0.18,-0.19
1897,-0.37,-0.39,-0.37,-0.03,0.16,-0.04,0.06,-0.05,-0.04,-0.12,-0.24,-0.26
1898,0.09,-0.41,-0.76,-0.25,-0.24,-0.05,-0.09,-0.13,-0.14,-0.34,-0.48,-0.24
1899,-0.11,-0.63,-0.57,-0.22,-0.23,-0.34,-0.15,-0.04,-0.03,0.06,0.38,-0.44
1900,-0.59,-0.11,0.08,-0.08,-0.01,-0.07,-0.09,-0.06,0.0,0.26,-0.1,0.0
1901,-0.32,-0.08,0.29,0.13,-0.1,0.03,0.03,-0.14,-0.25,-0.29,-0.2,-0.39
1902,-0.16,0.02,-0.39,-0.38,-0.38,-0.36,-0.32,-0.27,-0.33,-0.29,-0.45,-0.59
1903,-0.21,0.12,-0.14,-0.45,-0.42,-0.44,-0.43,-0.54,-0.48,-0.48,-0.41,-0.56
1904,-0.77,-0.59,-0.39,-0.49,-0.42,-0.47,-0.58,-0.52,-0.62,-0.37,-0.07,-0.33
1905,-0.4,-0.81,-0.22,-0.44,-0.28,-0.26,-0.21,-0.22,-0.18,-0.25,0.1,-0.16
1906,-0.55,-0.52,-0.19,0.05,-0.23,-0.11,-0.25,-0.16,-0.23,-0.17,-0.39,0.04
1907,-0.58,-0.72,-0.3,-0.45,-0.57,-0.5,-0.39,-0.37,-0.39,-0.18,-0.55,-0.57
1908,-0.54,-0.27,-0.69,-0.48,-0.29,-0.29,-0.35,-0.56,-0.31,-0.45,-0.62,-0.55
1909,-0.92,-0.45,-0.66,-0.65,-0.48,-0.5,-0.44,-0.34,-0.37,-0.33,-0.1,-0.57
1910,-0.34,-0.39,-0.49,-0.4,-0.3,-0.45,-0.38,-0.4,-0.42,-0.31,-0.58,-0.81
1911,-0.71,-0.6,-0.65,-0.46,-0.45,-0.33,-0.36,-0.43,-0.38,-0.19,-0.19,-0.29
1912,-0.35,-0.16,-0.6,-0.16,-0.12,-0.13,-0.51,-0.77,-0.81,-0.85,-0.5,-0.57
1913,-0.56,-0.64,-0.48,-0.5,-0.54,-0.49,-0.51,-0.46,-0.42,-0.39,-0.14,0.11
1914,0.17,-0.11,-0.35,-0.39,-0.19,-0.23,-0.34,-0.26,-0.3,0.0,-0.21,-0.04
1915,-0.26,-0.09,-0.24,0.07,-0.01,-0.12,-0.09,-0.16,-0.21,-0.27,-0.03,-0.25
1916,-0.09,-0.16,-0.38,-0.34,-0.36,-0.5,-0.34,-0.37,-0.49,-0.35,-0.47,-1.14
1917,-0.54,-0.69,-0.75,-0.64,-0.73,-0.49,-0.32,-0.4,-0.31,-0.62,-0.31,-1.05
1918,-0.69,-0.46,-0.25,-0.59,-0.49,-0.45,-0.34,-0.37,-0.26,-0.04,-0.22,-0.56
1919,-0.38,-0.42,-0.38,-0.24,-0.43,-0.39,-0.33,-0.3,-0.19,-0.08,-0.47,-0.55
1920,-0.15,-0.3,0.0,-0.21,-0.21,-0.25,-0.25,-0.32,-0.35,-0.4,-0.45,-0.72
